Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0107096;P2;user_request;Integration;closed;2026-01-13;;0;57;XStore;PRD;0,19;;N/A;2026-01-22 09:01:49;Y;;
Farmacia Arrocha;0107210;P4;user_request;Application;closed;2026-01-15;;0;22;XStore;PRD;0,03;;N/A;2026-01-23 09:01:43;Y;;
Farmacia Arrocha;0107237;P2;incident;Application;closed;2026-01-15;;0;1566;XStore;PRD;0,38;;N/A;2026-02-06 09:02:43;Y;;
Farmacia Arrocha;0107366;P3;user_request;Batch;closed;2026-01-19;;0;369;ORCE;QA;0,50;;N/A;2026-02-05 09:02:40;Y;;
Farmacia Arrocha;0107393;P2;incident;Application;closed;2026-01-19;;0;35;XStore;PRD;0,06;;N/A;2026-01-27 09:01:46;Y;;
Farmacia Arrocha;0107505;P2;incident;Application;closed;2026-01-21;2026-01-21 20:53:39;0;115;XStore;PRD;0,06;107538;N/A;2026-01-29 09:01:43;Y;;
Farmacia Arrocha;0107534;P2;user_request;Application;closed;2026-01-21;2026-01-23 20:56:03;0;147;XStore;PRD;0,28;;N/A;2026-01-31 09:01:43;Y;;
Farmacia Arrocha;0107538;P2;problem;Application;closed;2026-01-21;2026-01-21 20:53:43;0;1;XStore;PRD;0,00;;N/A;2026-03-07 21:03:55;N;;
Farmacia Arrocha;0107570;P2;user_request;Application;closed;2026-01-22;;0;132;XStore;PRD;0,13;;N/A;2026-02-05 09:02:41;Y;;
Farmacia Arrocha;0107582;P2;incident;Integration;closed;2026-01-22;2026-01-29 16:53:08;0;1439;XStore;PRD;0,16;107924;N/A;2026-02-06 09:02:43;Y;;
Farmacia Arrocha;0107584;P2;incident;Integration;closed;2026-01-22;;0;2471;XStore;PRD;0,56;;N/A;2026-02-07 09:02:39;Y;;
Farmacia Arrocha;0107586;P2;incident;Application;closed;2026-01-22;2026-02-03 20:54:47;0;4500;XStore;PRD;0,22;108159;N/A;2026-02-11 09:02:48;Y;;
Farmacia Arrocha;0107599;P2;user_request;Application;closed;2026-01-22;;0;132;XStore;PRD;0,06;;N/A;2026-01-31 09:01:44;Y;;
Farmacia Arrocha;0107617;P2;incident;Application;closed;2026-01-23;;0;440;XStore;PRD;0,25;;N/A;2026-01-31 09:01:44;Y;;
Farmacia Arrocha;0107642;P2;incident;Application;closed;2026-01-23;;0;258;XStore;PRD;0,16;;N/A;2026-02-04 09:02:42;Y;;
Farmacia Arrocha;0107736;P2;user_request;Application;closed;2026-01-26;2026-01-30 13:51:47;0;396;XStore;PRD;0,00;;N/A;2026-02-07 09:02:40;Y;;
Farmacia Arrocha;0107755;P2;user_request;Application;closed;2026-01-26;2026-05-08 13:47:20;0;675;XStore;PRD;0,13;;N/A;2026-05-08 13:05:16;N;;
